title,year,duration,genre,rating,movie_url
A Separation ,2011,2h 3min,Drama,8.3,https://www.imdb.com/title/tt1832382/
Sunset Blvd. ,1950,1h 50min,Drama,8.4,https://www.imdb.com/title/tt0043014/
1917 ,2019,1h 59min,Drama,8.3,https://www.imdb.com/title/tt8579674/
The Great Dictator ,1940,2h 5min,Comedy,8.4,https://www.imdb.com/title/tt0032553/
Paths of Glory ,1957,1h 28min,Drama,8.4,https://www.imdb.com/title/tt0050825/
Witness for the Prosecution ,1957,1h 56min,Crime,8.4,https://www.imdb.com/title/tt0051201/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/
Apocalypse Now ,1979,2h 27min,Drama,8.4,https://www.imdb.com/title/tt0078788/
City of God ,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/
High and Low ,1963,2h 23min,Crime,8.4,https://www.imdb.com/title/tt0057565/
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/
The Shining ,1980,2h 26min,Drama,8.4,https://www.imdb.com/title/tt0081505/
Parasite ,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/
Harakiri ,1962,2h 13min,Action,8.7,https://www.imdb.com/title/tt0056058/
Forrest Gump ,1994,2h 22min,Drama,8.8,https://www.imdb.com/title/tt0109830/
Goodfellas ,1990,2h 26min,Biography,8.7,https://www.imdb.com/title/tt0099685/
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,8.7,https://www.imdb.com/title/tt0167261/
Schindler's List ,1993,3h 15min,Biography,8.9,https://www.imdb.com/title/tt0108052/
Fight Club ,1999,2h 19min,Drama,8.8,https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,https://www.imdb.com/title/tt0120737/
12 Angry Men ,1957,1h 36min,Crime,8.9,https://www.imdb.com/title/tt0050083/
The Godfather ,1972,2h 55min,Crime,9.2,https://www.imdb.com/title/tt0068646/
The Lord of the Rings: The Return of the King ,2003,3h 21min,Adventure,8.9,https://www.imdb.com/title/tt0167260/
The Dark Knight ,2008,2h 32min,Action,9.0,https://www.imdb.com/title/tt0468569/
The Godfather: Part II ,1974,3h 22min,Crime,9.0,https://www.imdb.com/title/tt0071562/
Pulp Fiction ,1994,2h 34min,Crime,8.9,https://www.imdb.com/title/tt0110912/
